id,text,created_at,lang,source,likes,retweets,replies,author_name,author_username,author_verified,hashtags,technical_richness
1000,Exploring the new features in #NLP.,2025-01-29T11:44:45,en,Twitter for iPhone,177,78,31,Alice,charlie_ai,False,Cloud,medium
1001,Exploring the new features in #Python.,2025-06-12T15:29:44,en,Twitter for Android,64,43,9,Hank,bob_coder,True,"Cloud, Startups",medium
1002,Here's a cool trick with #SQL.,2025-01-19T20:40:33,en,Twitter Web App,0,18,19,Hank,emma_ds,True,Python,medium
1003,Getting started with #Linux. Any tips?,2025-02-18T02:18:07,en,Twitter for Android,195,85,32,Bob,ivy_nlp,True,"MachineLearning, CyberSecurity",medium
1004,Just finished a project on #Python!,2025-05-08T05:25:00,en,Twitter for Android,103,48,17,Jake,david_ml,False,,medium
1005,Is anyone else working with #Blockchain today?,2025-07-01T13:15:29,en,Twitter for Android,150,61,2,Jake,ivy_nlp,False,"Coding, Tech, Python",low
1006,Loving the power of #Cloud in my workflow.,2025-04-12T16:41:30,en,Twitter Web App,83,67,41,Emma,bob_coder,True,,low
1007,Exploring the new features in #Python.,2025-04-14T19:12:02,en,Twitter Web App,91,94,6,Bob,ivy_nlp,False,"CyberSecurity, Python, AI",medium
1008,Loving the power of #SQL in my workflow.,2025-03-17T11:11:24,en,Twitter Web App,30,2,21,Ivy,charlie_ai,True,"DevLife, CyberSecurity, Coding",medium
1009,Exploring the new features in #Cloud.,2025-01-15T10:15:05,en,Twitter Web App,191,65,39,Emma,hank_cloud,False,"Cloud, CyberSecurity, Cloud",low
1010,Getting started with #AI. Any tips?,2025-04-10T19:30:33,en,Twitter Web App,148,35,28,Bob,bob_coder,True,,medium
1011,Exploring the new features in #SQL.,2025-04-07T22:17:12,en,Twitter Web App,98,17,3,Bob,emma_ds,False,"MachineLearning, AI",medium
1012,Getting started with #Linux. Any tips?,2025-04-02T10:49:45,en,Twitter for iPhone,110,90,8,Grace,fay_code,False,"Tech, CyberSecurity, Python",medium
